日付,始値,高値,安値,終値
2007/04/02,102.31,102.48,101.73,101.93
2007/04/03,101.93,102.75,101.76,102.67
2007/04/04,102.68,103.03,102.32,102.38
2007/04/05,102.38,103.29,102.22,103.15
2007/04/06,103.16,103.8,103.06,103.6
2007/04/09,103.56,103.74,103.44,103.5
2007/04/10,103.49,103.98,103.21,103.77
2007/04/11,103.76,104.78,103.64,104.78
2007/04/12,104.76,105.06,104.52,105.02
2007/04/13,105.01,105.1,104.2,104.81
2007/04/16,104.9,106.02,104.77,105.82
2007/04/17,105.82,105.84,105.11,105.16
2007/04/18,105.16,105.33,104.44,105.24
2007/04/19,105.24,105.25,104.04,104.89
2007/04/20,104.89,105.96,104.72,105.62
2007/04/23,105.58,105.93,105.27,105.73
2007/04/24,105.74,106.25,105.14,105.72
2007/04/25,105.73,106.61,105.46,106.5
2007/04/26,106.5,106.85,106.28,106.6
2007/04/27,106.6,107.34,106.37,107.15
2007/04/30,107.23,108.17,106.69,107.71
2007/05/01,107.71,108.24,107.53,107.89
2007/05/02,107.9,108.5,107.54,108.34
2007/05/03,108.34,108.86,108.27,108.75
2007/05/04,108.74,109.03,108.47,108.5
2007/05/07,108.56,109.05,108.3,108.98
2007/05/08,108.99,109.04,108.21,108.64
2007/05/09,108.64,108.68,108.09,108.68
2007/05/10,108.68,108.93,107.85,107.9
2007/05/11,107.89,108.26,107.19,108.21
2007/05/14,108.23,108.87,108.02,108.83
2007/05/15,108.83,109.8,108.51,109.48
2007/05/16,109.49,109.76,109.12,109.39
2007/05/17,109.37,110.54,109.34,110.29
2007/05/18,110.31,111.33,110.09,111.26
2007/05/21,111.24,112.24,111.08,111.99
2007/05/22,112.02,112.18,111.7,111.89
2007/05/23,111.9,112.5,111.76,112.43
2007/05/24,112.4,112.48,111.8,112.02
2007/05/25,112.02,112.89,111.41,112.73
2007/05/28,112.73,112.86,112.52,112.7
2007/05/29,112.62,113.7,112.07,113.32
2007/05/30,113.32,113.86,112.92,113.25
2007/05/31,113.24,114.07,113.09,113.89
2007/06/01,113.88,115.2,113.68,115.07
2007/06/04,115.06,115.62,114.85,115.02
2007/06/05,115.02,115.33,114.04,114.16
2007/06/06,114.15,114.69,113.87,114.39
2007/06/07,114.4,114.86,113.55,113.62
2007/06/08,113.61,114.86,113.43,114.76
2007/06/11,114.74,114.94,114.34,114.85
2007/06/12,114.83,114.98,113.96,113.97
2007/06/13,113.93,115.14,113.86,115.08
2007/06/14,115.06,115.48,114.79,115.06
2007/06/15,115.02,116.41,114.96,115.58
2007/06/18,115.67,116.01,114.86,115.45
2007/06/19,115.45,116.21,115.23,116.1
2007/06/20,116.09,116.28,115.58,115.87
2007/06/21,115.87,116.14,114.96,115.12
2007/06/22,115.12,116.26,115.09,115.96
2007/06/25,115.94,115.97,114.93,115.55
2007/06/26,115.56,115.63,114.7,115.25
2007/06/27,115.24,115.3,114.07,114.74
2007/06/28,114.76,116.45,114.6,116.3
2007/06/29,116.28,117.79,115.54,115.61
2007/07/02,115.57,116.18,115.41,115.94
2007/07/03,115.94,116.34,114.99,115.38
2007/07/04,115.39,116.06,115.28,116.01
2007/07/05,115.97,116.42,115.68,116.4
2007/07/06,116.39,117.73,116.3,117.53
2007/07/09,117.6,118.22,117.48,117.54
2007/07/10,117.57,117.74,115.44,115.51
2007/07/11,115.51,116.23,114.51,116.17
2007/07/12,116.2,117.21,115.77,117.05
2007/07/13,117.06,117.26,116.29,116.38
2007/07/16,116.39,117.09,116.16,116.8
2007/07/17,116.79,117.33,116.55,117.21
2007/07/18,117.21,117.22,116.55,116.85
2007/07/19,116.84,117.29,116.42,116.96
2007/07/20,116.98,117.31,115.4,115.64
2007/07/23,115.68,116.39,115.32,115.69
2007/07/24,115.69,116.71,115.09,116.1
2007/07/25,116.1,116.19,115.09,115.68
2007/07/26,115.69,115.84,112.32,112.65
2007/07/27,112.67,113.27,111.3,111.45
2007/07/30,111.44,111.67,110.52,111.54
2007/07/31,111.52,112.82,111.03,111.19
2007/08/01,111.21,112.72,109.96,112.63
2007/08/02,112.66,113.51,111.79,113.29
2007/08/03,113.25,113.32,111.61,111.68
2007/08/06,111.72,113.29,110.87,112.94
2007/08/07,112.93,113.31,111.7,112.63
2007/08/08,112.63,114.34,112.53,114.17
2007/08/09,114.19,114.26,111.13,111.67
2007/08/10,111.64,112.66,111.01,112.41
2007/08/13,112.21,112.91,111.44,112.19
2007/08/14,112.2,112.24,110.13,110.17
2007/08/15,110.19,110.19,108.06,108.1
2007/08/16,108.1,108.13,104.07,105.82
2007/08/17,105.82,108.49,103.42,107.91
2007/08/20,107.88,109.16,107.11,108.87
2007/08/21,108.87,109.11,107.24,107.73
2007/08/22,107.73,109.06,107.05,108.59
2007/08/23,108.58,111.32,108.46,110.3
2007/08/24,110.29,110.73,109.35,110.69
2007/08/27,110.69,111.12,109.84,109.89
2007/08/28,109.87,109.88,107.27,107.39
2007/08/29,107.38,109.74,106.73,109.6
2007/08/30,109.6,110.02,108.19,109.44
2007/08/31,109.44,110.64,109.06,109.66
2007/09/03,109.65,110.33,109.58,110.15
2007/09/04,110.15,110.95,109.2,110.86
2007/09/05,110.88,111,109.15,109.38
2007/09/06,109.39,109.8,108.89,109.65
2007/09/07,109.68,109.93,107.01,107.45
2007/09/10,107.15,108.25,106.54,108.09
2007/09/11,108.08,109.82,107.73,109.61
2007/09/12,109.63,110.3,109.16,110.22
2007/09/13,110.21,111.9,110.04,111.29
2007/09/14,111.29,112.11,110.64,112
2007/09/17,111.97,112.56,111.26,112.02
2007/09/18,112.04,114.78,111.59,114.61
2007/09/19,114.57,114.91,113.74,114.36
2007/09/20,114.35,115.07,113.86,114.47
2007/09/21,114.54,116.04,114.36,115.44
2007/09/24,115.41,115.57,114.48,114.61
2007/09/25,114.63,114.72,113.8,114.35
2007/09/26,114.35,115.2,113.82,115.11
2007/09/27,115.11,115.65,114.8,115.43
2007/09/28,115.43,115.97,114.72,115.69
2007/10/01,115.52,116.85,115.43,116.72
2007/10/02,116.74,116.77,115.68,116.03
2007/10/03,116.03,117.25,115.73,116.94
2007/10/04,116.95,117.03,116.35,116.81
2007/10/05,116.82,119.36,116.68,119.3
2007/10/08,119.29,119.53,118.71,118.98
2007/10/09,118.97,119.42,118.43,119.34
2007/10/10,119.35,119.93,119.06,119.43
2007/10/11,119.43,120.96,119.21,120.08
2007/10/12,120.07,121.03,119.67,121
2007/10/15,120.96,121.28,119.83,120.18
2007/10/16,120.2,120.41,118.81,119.41
2007/10/17,119.45,120.16,118.46,119.71
2007/10/18,119.71,119.88,118.03,118.75
2007/10/19,118.74,119.68,117.85,118.43
2007/10/22,117.97,118.28,115.83,117.05
2007/10/23,117.02,119.3,116.89,118.75
2007/10/24,118.74,119,116.96,117.93
2007/10/25,117.88,118.89,117.55,118.1
2007/10/26,118.1,119.28,117.9,118.69
